,.trajectory,.hardness,launch_angle,launch_speed,.coordinates.coordX,.location,total_distance,trajectory,.launchSpeed,.totalDistance,.coordinates.coordY,.launchAngle,
e74eac5e-76be-4a2b-adb7-a3e240936c9b,,,,,,,,,,,,,
cafb4f72-bb82-4bf8-9d2e-e4dd573079b4,,,,,,,,,,,,,
491e9acf-627e-45f4-9c65-81554a719f35,,,,,,,,,,,,,
12b8c049-d1ab-47ab-b71a-a046819631ff,,,,,,,,,,,,,
22fdf34c-4001-4bdc-9ccf-a0721e8612e5,,,,,,,,,,,,,
a8694a62-0ae5-4351-a409-4b27bf6e8a7a,,,,,,,,,,,,,
1a751228-e289-423f-8b0c-30b9185ce64d,,,,,,,,,,,,,
2cd64c33-0101-40ee-89a0-6ef2bfbf7d1c,,,,,,,,,,,,,
e4d6da7b-a9de-4eb2-87dc-557e10a9a38b,,,,,,,,,,,,,
ea6fa7c9-b3e3-4fa2-bc0d-84de310c2385,,,,,,,,,,,,,
82825b35-2701-4e95-ae19-428a8d3f3bbf,,,,,,,,,,,,,
a2b13cd5-396d-47e4-8264-09809047c3ff,,,,,,,,,,,,,
705e5c92-fcc8-4fc5-ab99-c4122cc13c72,,,,,,,,,,,,,
a421c1b6-cf45-46ed-946a-53667d7abce9,,,,,,,,,,,,,
791e35bb-8a74-4fb9-8bc2-1dad6da68e21,,,,,,,,,,,,,
c2be776e-396e-4ea8-bf8c-36c5fe768e0a,,,,,,,,,,,,,
1b4517e4-8787-4e16-a10c-86a70e7a18f2,,,,,,,,,,,,,
b5d30ea0-a776-49b0-b24a-373029282bb3,,,,,,,,,,,,,
9f2e8837-6b59-4965-add0-c73a0b04d72f,,,,,,,,,,,,,
5768367a-4fb3-495f-8655-043defe5e36b,,,,,,,,,,,,,
dd6b988b-ff82-4609-89dd-2a4f90471f2d,,,,,,,,,,,,,
9f8de3b2-9b2b-44aa-9fd1-2e8583dd9d34,,,,,,,,,,,,,
b4bdd016-38f3-44ab-8c86-ec76267ec302,,,,,,,,,,,,,
edeac5d2-18a8-4e7a-93df-9cf41dc9949c,,,,,,,,,,,,,
c5ca7773-0c86-4679-a027-fe3e02f49fc5,,,,,,,,,,,,,
7c8c556b-8f5b-48a0-ad8d-28271e9ca302,,,,,,,,,,,,,
9e8be7a2-7d1e-492c-9118-41908deb4f27,,,,,,,,,,,,,
70839a92-a0ed-4e3c-bb3a-d1aa9833b67d,,,,,,,,,,,,,
d10aabce-f3dd-4cf4-b34c-067056a8d44d,,,,,,,,,,,,,
2d9d0c05-4432-4f8f-826f-d9b35af1ca42,,,,,,,,,,,,,
e51cabcb-c065-41be-8db9-138b69f9cbc0,,,,,,,,,,,,,
063f49b9-d5cc-4552-a318-209ef4b528ae,,,,,,,,,,,,,
a5924f51-619f-4737-a6c7-15dba4e09d16,,,,,,,,,,,,,
ef7b7dd5-64aa-41b0-9b39-d09c7f64a4e2,,,,,,,,,,,,,
cd5c9ac6-384a-4f61-b6aa-85e098de02db,,,,,,,,,,,,,
a4010011-3578-4705-8fdf-63aa2609ca44,,,,,,,,,,,,,
e17b2150-790c-4254-8807-4fac0bdfab46,,,,,,,,,,,,,
567896a6-1d55-4872-86ad-2eafc850c123,,,,,,,,,,,,,
90815129-3f59-4c30-8ad4-625cc6e8387e,,,,,,,,,,,,,
bd1a0f07-e7c0-4942-a390-e57292c16d4c,,,,,,,,,,,,,
f5173f0a-24cb-4b5e-a5e8-e243964a22a1,,,,,,,,,,,,,
fbfe0bf1-35dc-41c7-8a3a-f3428c3bdef4,,,,,,,,,,,,,
05473eaa-9f59-4ee8-b0da-6aea2349b1d4,,,,,,,,,,,,,
1545739e-b055-4c5a-8bef-5c5f0ae5f077,,,,,,,,,,,,,
892600a7-edc1-477c-9963-ea7af2665470,,,,,,,,,,,,,
0a4cf126-b7fc-44e6-837f-29bf88799b3a,,,,,,,,,,,,,
653cdccc-96bb-4bec-ba94-84c988dfffa6,,,,,,,,,,,,,
9c97e302-ba5a-4f73-a019-8bcc5d42d277,,,,,,,,,,,,,
b22be63b-6602-402a-902f-665e25441e95,,,,,,,,,,,,,
9f5f812d-ab97-423d-916e-d7a523668b2e,,,,,,,,,,,,,
0e7b9b9d-c429-415c-a07e-5de732de7dc2,,,,,,,,,,,,,
d7bbca8a-5e02-4137-9480-3feb501800e3,,,,,,,,,,,,,
1a8e05ea-b373-447a-b620-07e46153a487,,,,,,,,,,,,,
9799e05e-fbc4-46bf-8d99-dbc3c881cecd,,,,,,,,,,,,,
1d1af143-b5a2-443a-8d01-9b6dd5cb4ede,,,,,,,,,,,,,
d593e276-9876-48f9-a7ae-34e7537c26e6,,,,,,,,,,,,,
a7b3c42c-4dfd-4557-9616-00aac82cf9a0,,,,,,,,,,,,,
7f7840a6-8cb0-4760-953d-e3057dbd03f3,,,,,,,,,,,,,
950e737d-71c4-4217-82d7-a165740b3b56,,,,,,,,,,,,,
5bfd2861-11e0-4fa8-8b08-2938d18130d7,,,,,,,,,,,,,
cad7929f-8e3e-46ee-8d55-cd3b8fc157cf,,,,,,,,,,,,,
23280fa3-adad-46f1-bfed-90a3e1f789f9,,,,,,,,,,,,,
4e583216-31c2-4cfa-a8e3-b1c171b9bb53,,,,,,,,,,,,,
f2ead7ab-0d30-49ed-8938-d895453beea0,,,,,,,,,,,,,
2c91e578-9129-4852-a6df-745101683d77,,,,,,,,,,,,,
99a73529-b7bf-4f08-b597-29bd441044a0,,,,,,,,,,,,,
acb8a7d7-67eb-42f4-99a3-7d69876c8499,,,,,,,,,,,,,
9ad12873-51c2-4893-9ce6-1e46e45feaa7,,,,,,,,,,,,,
a059610f-3b80-4840-85d2-322e371fe24b,,,,,,,,,,,,,
5c272f1a-b0a0-416c-974e-f0ea47dbd24b,,,,,,,,,,,,,
854505cd-0c82-4050-a143-d37da4fbb7d6,,,,,,,,,,,,,
bc334ae6-bb18-40da-b915-d765d9b3000c,,,,,,,,,,,,,
7ca111fb-036e-4593-a654-951b9c45ebab,,,,,,,,,,,,,
7ea7ede2-fdd1-4572-ab42-8984677803fc,,,,,,,,,,,,,
27afcd38-25ee-4de3-a20e-f45b989015e1,,,,,,,,,,,,,
d8a4bc19-d3d4-4d84-b693-82981f753449,,,,,,,,,,,,,
444afa74-6aaa-49b3-a051-cd069252f1f3,,,,,,,,,,,,,
ec647948-e4ee-45c8-b2da-aba5354d5de1,,,,,,,,,,,,,
98e04cbb-d144-40e1-a979-aea12d5d051f,,,,,,,,,,,,,
efafcf2b-d6b8-428d-9c61-a6611f2e6a00,,,,,,,,,,,,,
36c89b54-5005-4012-8f34-32a3a7ef808a,,,,,,,,,,,,,
b3d673de-e20d-4b3c-af5d-685db7dc493c,,,,,,,,,,,,,
6da66cf2-d3ae-47c7-b0fe-41440eccfa9d,,,,,,,,,,,,,
3b6f2582-98c2-48d8-a664-4f50bc334fb3,,,,,,,,,,,,,
617dae34-528d-467a-8065-9bf372f1bfe8,,,,,,,,,,,,,
83a4b273-4e7c-44f6-9fb5-4c22d0e478a6,,,,,,,,,,,,,
1b3ff001-7e0d-4fc4-8e5f-5544a27fe199,,,,,,,,,,,,,
